"Data Source","World Development Indicators",

"Last Updated Date","2019-10-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Belize","BLZ","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.9224395751953","","","89.1644668579102","95.6703872680664","","","98.9524307250977","100.05013","100.81809","","97.24398","97.6512","98.44108","97.45409","98.9947","94.90599","99.68442","100.7419","103.952","108.0577","101.6988","102.0612","104.2318","105.3376","102.6097","104.4745",
"Bermuda","BMU","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","69.9329986572266","","","","","","","","","","","","","","","","","","","","","","","","","","94.46367","98.95592","95.68765","90.12926","90.48751","90.59107","","","","103.2092","95.56136","94.80692","98.23609","88.95028","91.57303","","","",
"Bolivia","BOL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.88193","97.44642","94.44821","90.71196","88.83914","89.91243","91.61031","",
"Brazil","BRA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.22961","114.19943","109.36661","100.68465","","","","","","","","","","","","","","",
"Barbados","BRB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.900993347168","98.39069","106.10086","103.47805","106.61055","97.66053","91.6478","93.93862","92.27579","94.60026","95.74749","95.61658","98.16754","","","","","","","88.74687",
"Brunei Darussalam","BRN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","105.949722290039","105.621620178223","111.154960632324","98.0051803588867","110.150466918945","103.821182250977","101.515892028809","100.548011779785","89.5244674682617","90.803337097168","80.8040390014648","82.8080825805664","57.2123794555664","","123.633590698242","","","","","98.5456619262695","99.7120666503906","98.2117614746094","101.031112670898","99.275993347168","","109.20255279541","115.237342834473","116.592681884766","114.79095","121.65795","117.53295","119.99123","111.28146","107.35931","107.65468","107.42963","105.27432","101.90636","105.3539","110.977","107.07","106.1239","100.1175","102.1723","","107.4272","107.9787",
"Bhutan","BTN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","5.52817010879517","5.89296007156372","8.59552001953125","9.45398044586182","","","","","","","","","19.4415607452393","","","","","23.7828006744385","27.9148693084717","","","","46.0704803466797","49.9967002868652","51.06835","51.48446","","","60.16422","66.09852","71.05857","72.63404","78.43049","80.8454","87.29344","89.07045","98.97335","96.63999","96.23844","","100.6622","100","",
"Botswana","BWA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","43.1236801147461","48.4484405517578","55.4123382568359","59.0425796508789","61.6605796813965","57.8136100769043","51.6537094116211","47.5469703674316","54.5205993652344","67.0071105957031","71.1788635253906","81.5917282104492","84.9434127807617","77.0347518920898","79.7065277099609","85.0729904174805","94.6021728515625","96.3290786743164","93.1086578369141","90.6561431884766","93.8604431152344","95.0033416748047","95.938232421875","95.2819595336914","100.230667114258","96.6938018798828","98.6987686157227","","99.060188293457","96.8309936523438","96.82113","99.05276","99.85823","99.35737","98.39903","97.71693","101.55862","98.31128","99.47419","101.0794","","","101.2084","100.6612","","","","","",
"Central African Republic","CAF","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","27.5147495269775","25.9116497039795","32.2016716003418","28.5332698822021","36.2007217407227","31.0838108062744","32.8600807189941","40.6213912963867","","","30.5894603729248","30.2921905517578","27.0963001251221","","","38.5082893371582","28.7541198730469","29.9849090576172","29.6598606109619","31.573450088501","29.1816806793213","23.3442401885986","","","","","","","","","","","","23.84487","26.09931","26.11194","","34.81548","37.22557","39.2278","40.87233","42.82416","","","","40.87417","","",
"Canada","CAN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.6792068481445","96.137580871582","97.81784","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","92.4406661987305","92.4779434204102","91.9681777954102","91.9435501098633","94.1679611206055","94.0954666137695","95.0312728881836","94.7655181884766","94.5257186889648","94.3324279785156","94.0076293945313","92.8893127441406","92.4704284667969","92.6751327514648","93.5577392578125","96.098747253418","94.8477478027344","94.9997787475586","94.7133483886719","94.3711471557617","93.0451431274414","90.8911437988281","91.0677871704102","91.595947265625","92.0182113647461","92.7093276977539","94.9004135131836","96.7572479248047","96.2528991699219","95.7099304199219","95.7165603637695","97.3081970214844","96.6996612548828","97.5399703979492","98.5893173217773","97.5427322387695","96.2820663452148","95.7160568237305","94.7874374389648","95.7208862304688","97.24109","97.70147","96.79386","97.31368","97.1201","97.94968","97.44619","99.64987","99.67159",
"Switzerland","CHE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","52.9950103759766","60.0714111328125","57.808219909668","56.3568305969238","52.1565017700195","51.8422012329102","52.1747093200684","51.3288917541504","50.8075408935547","49.9512481689453","49.5171394348145","48.5768508911133","49.9875907897949","51.3773994445801","53.7626914978027","55.3239593505859","61.3608093261719","62.4248504638672","","73.1172866821289","","","95.6077270507813","96.67293","98.05579","98.28719","98.4866","99.44709","96.96641","93.92943","93.3588","94.40711","96.10912","96.19563","96.65714","97.41051","96.85575","95.57646","95.77347","96.82687","97.15868","",
"Channel Islands","CHI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","79.3192596435547","86.7584381103516","91.1510009765625","92.2392501831055","90.4199829101563","90.8590698242188","93.1467895507813","90.6195907592773","","","","","","97.8728790283203","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.71445","98.82017","98.69904","98.90056","96.97696","95.48255","94.75356","",
"China","CHN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.40503692627","101.568061828613","102.951187133789","99.2811584472656","101.101722717285","103.513618469238","98.770637512207","93.3232879638672","90.6408386230469","","","","","","","","","91.63242","93.34789","99.27694","98.29463","","","","","","","","","",
"Cote d'Ivoire","CIV","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","38.9535598754883","39.4918098449707","43.6532592773438","47.5983810424805","51.0773506164551","51.8590316772461","53.8435096740723","56.5410385131836","60.3948593139648","","57.6062316894531","55.8922309875488","47.8496284484863","48.572681427002","47.8942413330078","48.1673698425293","44.9459686279297","42.7079315185547","46.4774017333984","42.2738189697266","43.4375915527344","43.2256011962891","41.628978729248","42.8888511657715","40.2717094421387","40.2362289428711","42.9489898681641","43.29003","49.22525","","","","","43.74017","44.91417","","45.82095","","53.17803","54.47448","53.29364","54.86824","60.44213","64.16321","71.5999","",
"Cameroon","CMR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","48.2461585998535","47.7189102172852","49.8264312744141","51.3729782104492","52.3334083557129","62.9129981994629","53.1599388122559","51.4421005249023","51.6005706787109","50.6107902526855","50.7740287780762","52.3915710449219","53.7745094299316","54.0155792236328","55.5713081359863","55.1845588684082","","56.250301361084","54.9569396972656","","","","","","","","48.4889488220215","49.51233","","","56.61424","58.58127","","50.86168","54.11949","69.96147","69.69682","71.67993","70.71425","74.24182","","72.77978","74.17043","73.39319","68.21424","64.47068",
"Congo, Dem. Rep.","COD","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","41.3856811523438","43.5494003295898","","","","53.8352813720703","56.7603988647461","60.318431854248","","59.913459777832","62.0829200744629","64.5900421142578","67.0000762939453","69.3286285400391","","","","50.411491394043","","","52.338508605957","48.6685905456543","56.1416702270508","47.3784599304199","","","","","34.8838882446289","","","42.70937","","","","","55.44419","60.51384","63.11711","63.64162","65.57299","70.90409","69.77173","","69.91117","","","",
"Congo, Rep.","COG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","56.1214485168457","59.6457481384277","69.171516418457","57.2866516113281","66.7975006103516","69.0680465698242","71.6529388427734","71.8718719482422","78.6362380981445","79.4929275512695","77.7737197875977","77.0927124023438","70.8544616699219","74.0753707885742","71.5252075195313","72.5405197143555","72.8988800048828","73.3610687255859","67.718620300293","58.9206199645996","54.5494384765625","61.9286003112793","63.5021705627441","54.1680908203125","","49.555850982666","","","31.4374198913574","","56.53613","59.27043","55.88826","80.37814","70.05938","75.98784","74.3582","69.18699","68.3948","68.42873","74.98303","71.60604","","","","","","",
"Colombia","COL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","47.6388893127441","50.6872711181641","51.2398910522461","54.1318511962891","54.6974601745605","","","","","","","","72.19384765625","74.8999633789063","75.1134033203125","69.3562316894531","72.2938003540039","71.8953170776367","71.2615585327148","71.0013580322266","75.2602462768555","74.4436569213867","83.2618865966797","84.2155075073242","83.9233627319336","87.9953765869141","89.4512023925781","","95.5641937255859","96.7185363769531","96.01168","92.80086","92.8196","","100.10397","104.17311","110.58097","112.73173","113.02171","117.86193","116.956","115.31","109.6682","99.79444","99.2422","100.0331","101.7113","105.9868","106.4633",
"Comoros","COM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","60.6708488464355","","","","","68.1502990722656","54.998908996582","","","","","45.6188507080078","40.1124801635742","48.324779510498","","","","","49.1339797973633","","","58.13922","57.26399","61.90852","","","64.08012","73.323","","","","","74.6988","77.67992","","","76.72008","",
"Cabo Verde","CPV","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","10.3041801452637","12.6471700668335","19.3060607910156","14.2607498168945","13.8369197845459","13.6042404174805","17.0803394317627","27.5776805877686","25.0511093139648","22.3473300933838","31.4242992401123","32.9696807861328","36.3940315246582","40.851390838623","46.6852912902832","","60.2265701293945","","","","76.1230773925781","","","","101.490730285645","","105.99315","98.75489","98.83446","98.8822","96.1721","81.75217","94.72468","91.75924","99.71652","96.83359","101.1008","96.29145","97.75908","92.35906","94.72225","95.21536","91.03706","87.40142","87.29021",
"Costa Rica","CRI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","74.3517532348633","74.5206985473633","83.9507064819336","87.8784713745117","86.7544403076172","85.067138671875","81.2858276367188","89.113899230957","86.4561386108398","84.2411804199219","84.9275131225586","88.3089218139648","88.6818313598633","82.1614685058594","75.1387786865234","78.1551971435547","78.5146102905273","75.5226974487305","75.6901702880859","74.9445419311523","74.3367691040039","79.1000671386719","81.1360702514648","83.0650177001953","81.7058410644531","80.5498428344727","81.9217834472656","","","82.9527130126953","88.31564","91.27375","93.49245","","94.08341","93.50606","90.26893","92.70089","94.4894","97.94899","99.32607","104.3605","102.4104","98.64965","98.42607","99.5866","97.32091","96.77837","98.59437",
"Caribbean small states","CSS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","90.1056289672852","89.6788864135742","91.6916809082031","91.2829208374023","92.7063522338867","90.3105697631836","91.4226303100586","92.6423263549805","91.8565979003906","91.5979080200195","89.1960983276367","89.8522872924805","91.5603713989258","92.6590194702148","94.592170715332","95.1909408569336","94.1236801147461","93.4012222290039","92.0540618896484","90.26953125","88.4462203979492","88.231330871582","89.0843200683594","91.0533599853516","92.9017333984375","91.9653396606445","87.0035400390625","88.5102233886719","87.8390502929688","89.7535018920898","90.1355133056641","90.7939910888672","90.3046035766602","90.8320007324219","91.857292175293","90.52493","91.6818","92.11843","91.15279","91.25849","91.51285","91.14359","91.27883","90.84398",
"Cuba","CUB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","67.2722396850586","59.8201484680176","66.6103820800781","76.2063980102539","80.004638671875","94.1059036254883","112.219940185547","120.757400512695","115.763061523438","107.203346252441","97.8564682006836","87.3844985961914","95.588020324707","99.6824035644531","96.2046279907227","92.9576187133789","95.9142227172852","94.1444473266602","95.132209777832","92.9729614257813","93.3784027099609","86.0439376831055","83.3489303588867","96.2345123291016","96.7685470581055","97.2605895996094","","","93.8025512695313","95.54506","95.89135","102.1481","98.56324","96.585","97.92653","95.89934","94.34615","89.0286","95.75438","94.98465","95.78063","94.9207","93.86077","98.09443","97.07624","92.82561","89.52382","84.13141",
"Curacao","CUW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
